S/NO,County,Subcounty,Education zone,,,School Name/Learning Institution,GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),Type of school2_Boys; Girls; Mixed,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Type of school1_ Public, Private, Informal","Registered, Not registered",,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),PRINCIPALS'CONTACTS 
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
11,MAKUENI,MAKUENI,Kilala,Kaiti,Ukia,St. Anthony Iwani Girls,-1.790666,37.656325,Girls,N/A,18307208,FPUG,Catholic ,3.84Ha,Secondary,Private,Private,Registered,,Boarding,Regular,0,34,34,0,0,0,0,0,0,0,0,0,Ministry of Education,3,4,0,1,0,0,0,0,0,N/A,2.9,0728 410602
24,MAKUENI,MAKUENI,Kee,Kaiti,Kee,Kola,-1.708355,37.347428,Girls,N/A,18307307,3YMF,Private,1.5Ha,Secondary,Private,Private,Registered,,Boarding,Regular,0,194,194,0,0,0,0,7,6,0,13,13,"KICD, SCDE, MOE & KNEC",9,6,0,3,1,0,0,10,0,N/A,2.458,0710 473 246
40,MAKUENI,MAKUENI,Wote,Makueni,WOTE ,Chelezo,0,0,Mixed,N/A,18307123,      -,Private,2.03Ha,Secondary,Private,Private,Registered,,Boarding,Regular,41,44,85,0,0,0,0,6,4,0,10,10,    -,7,4,0,1,0,8,0,4,0,N/A,6.75,0720 010215
49,MAKUENI,MAKUENI,Mulaani,Makueni,Muvau/Kikumini,Emmanuel Springs Girls ,-1.88975,37.707303,Girls,N/A,N/A,MR95,Private,10Ha,Secondary,Private,Private,Registered,,Boarding,Regular,0,56,56,0,0,0,0,4,3,0,7,7,QASO & CSO,11,7,0,4,0,0,0,24,0,N/A,New,0721 393619
50,MAKUENI,MAKUENI,Kola,Kaiti,Kola,St.Mary's Girls- Kola,0,0,Girls,N/A,18307308,       -,Private,5Ha,Secondary,Private,Private,Registered,,Boarding,Regular,0,138,138,0,0,0,0,7,3,0,10,10,M.O.E,6,6,0,1,0,0,0,16,0,N/A,3.949,0717 566464
89,MAKUENI,Mbooni West,Mbooni,Mbooni,Mbooni,SNR Chief Munguti,0,0,Mixed,3326,18323112,YZWH,AIC,1.34,Secondary,Private,Private,Registered,,Day,Regular,99,85,184,4,2,0,0,1,2,6,3,9,"MOE , MOEQA & MOE Audit",5,4,0,1,0,4,0,4,0,N/A,,0711905615
92,MAKUENI,Mbooni West,Kalawani,Mbooni,Tulimani,Matungwa Memorial Senior,0,0,Girls,Private,18323319,EV32,Private,1.2HA,Secondary,Private,Private,Registered,,Boarding,Regular,0,65,65,0,0,0,0,5,5,0,10,10,CSO & SCDE,3,4,0,1,0,0,0,4,0,N/A,,0728934295
162,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Ivingoni - Nzambani,Chyulu ,0,0,Girls,N/A,N/A,E9KJ,Private,24Ha,Secondary,private,private,N/A,,Boarding,Regular,0,407,407,0,0,0,0,9,4,0,13,13,MOE officers & Motivational speakers,7,8,0,1,0,0,0,9,0,N/A,N/A,0704 752719
163,MAKUENI,KIBWEZI,Kathyak,Kibwezi West,Kikumbulyu West,Goshen,0,0,Mixed,N/A,18325214,GSDR,Private,2Ha,Secondary,private,private,Registered,,Day & Boarding,Regular,29,37,66,1,2,0,0,2,1,3,3,6,N/A,4,4,0,0,1,4,0,4,0,N/A,N/A,0724 031591
164,MAKUENI,KIBWEZI,Maikuu,Kibwezi East,Thange,Johang Mt. Zion senior,0,0,Mixed,14704043,18325319,N/A,Private,6Ha,Secondary,private,private,Registered,,Day & Boarding,Regular,34,24,58,0,0,0,0,4,2,0,6,6,CSO & DEO,4,4,0,1,0,2,0,2,0,N/A,N/A,0715 059361
165,MAKUENI,KIBWEZI,Kambu,Kibwezi East,Mtito Andei,Kambu Premier,-2.596474,38.07808,Mixed,1447014043,18325118,H3C2,Private,2.5Ha,Secondary,private,private,Registered,,Day & Boarding,Regular,23,19,42,0,0,0,0,4,4,0,8,8,"SCDE,DQASO,CSO & ACC",4,4,0,0,1,2,0,6,0,N/A,N/A,0711 498909
166,MAKUENI,KIBWEZI,Mtito Andei,Kibwezi East,Mtito Andei,Lukenya Community,-2.559212,38.322495,Mixed,147014043,18325114,E9ZV,Private,108Ha,Secondary,private,private,Registered,,Day & Boarding,Regular,41,29,70,0,0,0,0,5,4,0,9,9,SQASO,2,4,0,3,0,4,0,4,0,N/A,N/A,0724 582025
186,MAKUENI,MUKAA,Kasikeu,Kilome,Kasikeu,Holy Ghost Schools,-1.991753,37.355322,Boys,N/A,18347418,UFG4,Catholic,34 Ha,Secondary,private,private,Registered,,Boarding,Regular,422,o,422,0,0,0,0,23,5,0,28,28,"Associations, MOE",18,16,0,4,0,16,0,0,0,N/A,7.75,0712783386
187,MAKUENI,MUKAA,Kiimakiu,Kilome,kalanzoni/Kiimakiu,Tumaini,0,0,Mixed,N/A,18347521,FP5Z,,4Ha,Secondary,private,private,Registered,,Day&boarding,Regular,90,61,151,0,0,0,0,8,2,0,10,10,None,6,4,0,1,0,4,0,4,0,N/A,2.677,0742399966
188,MAKUENI,MUKAA,Kasikeu,Kilome,Kiou,St. Christopher Girls,0,0,Girls,N/A,18347417,WQVA,,40 Acres,Secondary,private,private,Registered,,Boarding,Regular,0,116,116,0,0,0,0,7,5,0,12,12,"Examiners, Rev. Kasinga, knec",13,7,0,2,0,4,0,6,0,N/A,7.4062,0715523316
189,MAKUENI,MUKAA,Kasikeu,Kilome,Sultan,St. Steven's,-2.010021,37.368107,Mixed,N/A,,,,12 Acres,Secondary,private,private,Registered,,Boarding,Regular,113,47,160,0,0,0,0,7,2,0,9,9,MOE,3,6,0,3,0,10,0,8,0,N/A,4.057,0745253989
190,MAKUENI,MUKAA,Kasikeu,Kilome,Kiou,Travellers Oasis Center,-2.017029,37.37983,Girls,N/A,18347409,NLGZ,,50 Ha,Secondary,private,private,Registered,,Boarding,Regular,0,78,78,0,0,0,0,6,3,0,9,9,None,10,9,0,4,0,0,0,16,0,N/A,8.72727272,0705354574
191,MAKUENI,MUKAA,Kiimakiu,Kilome,Kalanzoni,Tunawajali Christ Baptist ,0,0,Mixed,N/A,,EAKP,,5 Acres,Secondary,private,private,Not-Registered,,Day,Regular,5,10,15,0,0,0,0,2,3,0,5,5,Education Ministry,3,0,5,3,0,3,0,3,0,N/A,NEW,0713306787
216,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Mumbe Boys,0,0,Boys,N/A,18348106,X2QV,Private,8 Acres,Secondary,Private,Private,Registered ,,Boarding,Regular,110,0,110,0,0,0,0,7,1,0,8,8,"School Directors, SCDE",9,4,0,1,0,4,0,0,0,N/A,6.57,720172276
217,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,ST.Francis of Assisi Kaunguni ,0,0,Mixed,3223,18348116,8LN3,Catholic,4.655 Acres,Secondary,Private,Private,Registered ,,Day,Regular,196,234,430,8,6,0,0,1,1,14,2,18,SQASO,7,8,0,2,0,10,0,10,0,N/A,3.55,721351093
223,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Calcutta,-2.271316,37.829147,Girls,N/A,19348121,7MJG,Catholic,2 Acres,Secondary,Private,Private,Registered ,,Boarding,Regular,0,84,84,0,0,0,0,6,4,0,10,10,CSO,13,8,0,4,0,0,0,5,0,N/A,5.7,701074808
225,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Eagle Rise Girls,-2.272263,37.828604,Girls,N/A,18348123,5UCN,Private,2.03 Ha,Secondary,Private,Private,Registered ,,Boarding,Regular,0,159,159,0,0,0,0,5,5,0,10,10,SCDE,6,5,0,1,0,0,0,8,0,N/A,3.59,714692745
231,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Darko,0,0,Girls,N/A,18348124,E9L5,Private,4 Ha,Secondary,Private,Private,Registered ,,Day & Boarding,Regular,0,57,57,2,3,0,0,5,3,5,8,13,QASO,7,4,0,3,0,0,0,4,0,N/A,4.05,792618119
233,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Mutantheeu,-2.309597,37.889612,Mixed,NEW,NEW,NT7T,CEB,4.05 Ha,Secondary,Private,Private,Registered ,,Day,Regular,23,17,40,1,0,0,0,4,2,1,6,7,"SCDE, County Audit",1,4,0,0,0,10,0,1,0,N/A,NEW,722448752
238,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Chyeni,-2.280391,37.829884,Mixed,N/A,18348105,WVK6,Private,2.6 Ha,Secondary,Private,Private,Registered ,,Day & Boarding,Regular,32,9,41,0,0,0,0,4,4,0,8,8,"SCDE, SCDQASO, CSO, TSC-CDE",7,4,0,1,0,3,0,4,0,N/A,2.45,710801374
244,Makueni,Makindu,Kiboko,Kibwezi West,Makindu,Mumbe Girls,0,0,Girls,N/A,18348126,EA36,Private,8 Acres,Secondary,Private,Private,Registered ,,Boarding,Regular,0,69,69,0,0,0,0,3,4,0,7,7,SCDE,8,6,0,3,0,0,0,4,0,N/A,5.85,718854896
290,MAKUENI,Mbooni East,Kiteta,Mbooni,Kisau/Kiteta,OLA-TAWA ,0,0,Girls, G,,AQST,,9.5 Ha,Secondary,Private,Private,Registered,,Boarding,Regular,0,355,355,0,0,0,0,12,8,0,20,20,SQASO,15,8,0,4,0,0,0,60,0,N/A,7.59,720257389
300,MAKUENI,KILUNGU,ILIMA,KAITI,ILIMA,ST PAULS KYANGÁ,0,0,Mixed,3292,18336206,Q0BP,,3 Ha,Secondary,Private,Private,Registered,,Day,Regular,83,118,201,6,2,0,0,2,1,8,3,9,MOE,4,4,0,0,0,8,0,8,0,N/A,,0721432893
301,MAKUENI,KILUNGU,ILIMA,KAITI,ILIMA,ENGAVU,-1.832273,37.457258,Mixed,3342,18336205,57BC,,3 Ha,Secondary,Private,Private,Registered,,Day,Regular,51,34,85,5,2,0,0,1,0,7,1,8,QASO,3,4,0,0,0,3,0,8,0,N/A,,0722224383
315,MAKUENI,KILUNGU,KILUNGU,Kaiti,Kilungu,St. Teresia,-1.800825,37.407,Girls,--,18336115,EABL,,4.2 Ha,Secondary,Private,Private,,,Boarding,Regular,0,9,9,0,0,0,0,4,2,0,6,6,CSO,14,4,0,4,0,0,0,6,0,N/A,,702006608
363,MAKUENI,KATHONZWENI,Kathonzweni,Makueni,Kathonzweni,Clay International,-2.051504,37.729149,Mixed,N/A,18335207,BRCV,PRIVATE,25,Secondary,Private,Private,Registered,,Both,Regular,17,15,32,6,5,0,0,0,0,11,0,11,"SCDE,SCQASO,TSC",N/A,4,0,1,0,10,0,5,0,N/A,7.27,720704199
1,MAKUENI,MAKUENI,Wote,Makueni,Muvau/Kikumini,Kithoni,-1.714253,37.480093,Mixed,147014043340,18307120,U788,B.O.M,3.02,Secondary,Sub county,Public,Registered,,Day,Regular,84,60,144,4,2,0,0,1,0,6,1,7,World bank & University of Nairobi,5,4,0,1,1,8,0,8,0,N/A,2.815,0726 085889
2,MAKUENI,MAKUENI,Wote,Makueni,Wote-Nziu,Makueni Boys',-1.793757,37.62155,Boys,147014043010,18300003,A81CQ,Catholic,46,Secondary,National,Public,Registered,,Boarding,Regular,1294,0,1294,27,27,0,0,3,1,54,4,58,"CEMASTEA, KNEC & MOE",,23,0,7,0,51,0,0,0,N/A,8.031,0714 442 488
3,MAKUENI,MAKUENI,Kee,Kaiti,Kee,Kee S.A ,-1.72342,37.343402,Mixed,147014043092,18307305,2LUD,S/ARMY,0.65Ha,Secondary,Sub county,Public,Registered,,Day,Regular,54,73,127,5,3,0,0,1,1,8,2,10,CSO's & QASO's,6,4,0,1,0,2,0,6,0,N/A,2.862,0712 594403
5,MAKUENI,MAKUENI,Kee,Kaiti,Kee/Kivani,Nguluni,-1.723186,37.374692,Mixed,147014043029,18307306,456T,B.O.M,4.2Ha,Secondary,Sub county,Public,Registered,,Day,Regular,198,169,367,8,1,0,0,4,1,9,5,14,Ministry,7,7,0,1,0,6,0,6,0,N/A,3.93,0718 023445
6,MAKUENI,MAKUENI,Kee,Kaiti,Kee,Mwea,-1.699956,37.414112,Mixed,147014043198,18307309,MHMA,B.O.M,1.5Ha,Secondary,Sub county,Public,Registered,,Day,Regular,66,74,140,7,1,0,0,0,2,8,2,9,TSC County office,4,5,0,0,1,8,0,8,0,N/A,3.182,0721 226 513
7,MAKUENI,MAKUENI,Wote,Makueni,Wote-Nziu,St.John's Malivani ,-1.791822,37.597836,Mixed,147014043102,18307106,JPJ9,Catholic ,4.3Ha,Secondary,County,Public,Registered,,Day & Boarding,Regular,213,171,384,12,5,0,0,2,1,17,3,20,M.O.E & County Assessment Panel,15,8,0,0,0,20,0,22,0,N/A,3.873,0721 266284
8,MAKUENI,MAKUENI,Wote,Makueni,Wote-Nziu,Nziu ,-1.816701,37.533278,Mixed,147014043229,18307113,FPRH,B.O.M,0.225Ha,Secondary,Sub county,Public,Registered,,Day,Regular,185,117,301,9,6,0,0,2,1,15,3,18,Ministry & School,7,11,0,1,0,12,0,10,0,N/A,4.355,0722 438556
9,MAKUENI,MAKUENI,Wote,Makueni,Muvau/Kikumini,A.I.C Mutulani,-1.862108,37.561271,Mixed,147014043141,18307112,EAEV3,A.I.C ,2.30Ha,Secondary,Sub county,Public,Registered,,Day,Regular,236,203,439,12,3,0,0,2,2,15,4,19,CSO,11,8,0,1,0,7,0,16,0,N/A,3.811,0711 976 970
10,MAKUENI,MAKUENI,Wote,Makueni,Muvau/Kikumini,Kimuumo,-1.844732,37.596923,Mixed,147014043272,18307115,MXLF,B.O.M,1.16Ha,Secondary,Sub county,Public,Registered,,Day,Intergrated,78,105,183,3,2,0,0,2,2,5,4,9,C.S.O,4,4,0,1,0,5,0,5,0,N/A,3.409,0722 536 373
12,MAKUENI,MAKUENI,Kilala,Kaiti,Ukia,Muiu,-1.718044,37.578174,Mixed,147014043339,18307214,7TBV,CEB,4.5,Secondary,Sub county,Public,Registered,,Day,Regular,85,102,187,6,2,0,0,1,2,8,3,11,Auditors,5,5,0,1,0,6,0,8,0,N/A,2.75,0721 437237
13,MAKUENI,MAKUENI,Kilala,Kaiti,Ukia,A.I.C Iuani,-1.728512,37.524217,mixed,147014043338,18307213,MXJ5,A.I.C Church,o.45Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,81,55,136,5,1,0,0,1,1,6,2,8,M.O.E & TSC,8,4,0,1,0,4,0,6,0,N/A,2,0735 275244
14,MAKUENI,MAKUENI,Kee,Kaiti,Kee,Kivani,-1.72324,37.374917,Mixed,147014043145,18307301,J2CP,B.O.M,1Ha,Secondary,Sub county,Public,Registered,,Day,Regular,294,267,561,8,14,0,0,1,2,22,3,25,"External speakers, CEMASTEA & QASO",9,10,0,1,0,6,0,12,0,N/A,3.992,0721 851419
15,MAKUENI,MAKUENI,Kee,Kaiti,Kee,Kitandi,-1.747579,37.33539,Mixed,147014043042,0,9MU2,0,0.9558,Secondary,Sub county,Public,Registered,,Day,Regular,139,182,321,10,5,0,0,0,0,15,1,16,"Quality officer, Audit officer, TSC & Director(Ed)",9,8,0,1,0,7,0,10,0,N/A,4.072,0722 926056
16,MAKUENI,MAKUENI,Kee,Kaiti,Kee,Mutulani,-1.862108,37.561271,Mixed,147014043125,18307304,Zej9,B.O.M,3Ha,Secondary,Sub county,Public,Registered,,Day,Regular,148,129,277,10,6,0,0,0,1,16,1,17,C.S.O & SCQAS,8,8,0,1,0,12,0,12,0,N/A,3.421,0722 424 460
17,MAKUENI,MAKUENI,Kee,Kaiti,Kee,Kasunguni,-1.724423,37.315862,Mixed,1470140430083,18307303,AQNC,B.O.M,0.5Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,145,156,301,11,5,0,0,1,0,16,1,17,"M.O.E, School & C.S.O",10,8,0,1,0,6,0,8,0,N/A,4.386,0714 939383
18,MAKUENI,MAKUENI,Mulaani,Makueni,Muvau/Kikumini,Kitonyoni,-1.92399,37.661441,Mixed,147014043040,18307107,S9MS,B.O.M,2.95Ha,Secondary,Sub county,Public,Registered,,Day & Boarding,Regular,142,113,255,6,6,0,0,0,1,12,1,13,M.O.E,10,8,0,1,0,8,0,10,0,N/A,4.172,0703 497474
