subcounty,Boys_form1_2019,Girls_form1_2019,Boys_form2_2019,Girls_form2_2019,Boys_form3_2019,Girls_form3_2019,Boys_form4_2019,Girls_form4_2019
Kathonzweni,1249,1462,1342,1432,1190,1295,1097,1305
Kibwezi,2844,3164,2421,2483,2092,2127,1936,1986
Kilungu,1008,1130,928,1013,932,913,810,668
Makindu,856,1147,773,1089,642,917,627,768
Makueni,2026,2297,1901,1841,1706,1810,1637,1885
Mbooni East,1391,1387,1249,1470,1181,1230,1022,1100
Mbooni West,1872,1710,1757,1678,1516,1577,1359,1420
Mukaa,1937,1484,1850,1483,1688,1312,2142,1289
Nzaui,2085,2110,1955,2049,1712,1888,1495,1721
Total,15268,15891,14176,14538,12659,13069,12125,12142
