Serial number,County,Subcounty,Education zone,,,School Name/Learning Institution,"Type of school1_ Public, Private, Informal",GPS Cordinate (Latitudes),GPS Cordinate (Longtitudes),,TSC Code,KNEC Code,MOE Code/ Nemis Code,Sponsor, Land area_ acres,"Level_ Pre primary, Primary, Secondary, Special needs, technical colleges,  Diploma Teacher colleges, Certificate Teacher colleges,  University","Type of school1_ Public, Private, Informal","Registered, Not registered",Type of school2_Boys; Girls; Mixed,Type of school3_Day; Boarding; Both,"Type of school4_Regular, Integrated, Special Needs School",Enrolment,,,TSC Teachers,,County government (e.g. for Pre primary),,BOM/PTA,,"Total Human resources (Teaching staff , Tsc, BOM/PTA, County)",,,Human resources: Curriculum support, Human resources: Non-Teaching staff,"Infrastructure ( No of classrooms, Labs, Boys toilets, Girls Toilets)",,,,,,,,KCPE (for primary),KCSE (Secondary),HT TEL. CONTACT
,,,,Constituency,Ward,,,,,,,,,,,,,,,,,Boys,Girls,Total,Male,female,Male,female,Male,female,TSC,BOM/PTA,Total,,,Classrooms: Permanent,temporary,Laboratories: Permanent,temporary,Boys Toilets: Permanent,temporary,Girls Toilets: Permanent,temporary,,,
96,Makueni,Kathonzweni,Kitise,Makueni,Kathonzweni,St. Joseph's Mbuvo Catholic,Private,-2.009933,37.767888,,N/A,18335425,RUEZ,Catholic,10Ha,Primary,Private,Registered,Mixed,Day& Boarding,Integrated,98,111,209,0,0,0,0,5,5,0,10,10,"Catholic Bishop office,CSO, SCQASO",7,8,0,0,0,10,0,10,0,,,0722361041
97,Makueni,Kathonzweni,Mavindini,Makueni,Mavindini,Shaddai Christian Academy,Private,-1.835605,37.787498,,N/A,,CBNZ,Private,6 Acres,Primary,Private,Registered,Mixed,Day& Boarding,Regular,69,66,135,0,0,0,0,5,7,0,12,12,"CSO,TSC,Officers, QA Officers",5,8,0,0,0,8,0,10,0,,,0792333046
98,Makueni,Kathonzweni,Kathonzweni,Makueni,Kathonzweni,St. Martin De Porres ,Private,-1.912678,37.733772,,N/A,18335226,4QB8,Catholic,1.5Ha,Primary,Private,Registered,Mixed,Day& Boarding,Regular,53,55,108,0,0,0,0,4,6,0,10,10,"Curr.Implementation,Safety precautions",5,8,0,0,0,8,0,8,0,,,0717155082
99,Makueni,Kathonzweni,Kathonzweni,Makueni,Kathonzweni,Kathonzweni Plains,Private,-1.91656,37.73012,,N/A,18335227,C9FY,Private,7.0Ha,Primary,Private,Registered,Mixed,Day& Boarding,Regular,98,113,211,0,0,0,0,9,6,0,15,15,Moran Publishers,13,,,0,0,8,0,6,0,,,0703144358
100,Makueni,Kathonzweni,Mavindini,Makueni,Mavindini,Joeli Academy,Private,-1.4858,37.4981,,N/A,,B52Q,Private,3 Acres,Primary,Private,Not-registered,Mixed,Day& Boarding,Regular,14,17,31,0,0,0,0,4,6,0,10,10,"CSO,SCQASO,PHO",3,,,0,0,2,0,2,0,,,0718772680
101,Makueni,Kathonzweni,Mavindini,Makueni,Mavindini,Kathonzweni Gracious Academy,Private,-1.89052,37.79896,,N/A,18335122,,Private,5 Acres,Primary,Private,Registered,Mixed,Day& Boarding,Regular,17,23,40,0,0,0,0,2,5,0,7,7,"CSO,Public Health",3,6,0,0,0,4,0,4,0,,,0725795004
102,Makueni,Kathonzweni,Kathonzweni,Makueni,Kathonzweni,St. Mary's Makueni Super Academy,Private,-1.91347,37.731651,,N/A,18335230,,Private,3.7Acres,Primary,Private,Registered,Mixed,Day& Boarding,Regular,13,19,32,0,0,0,0,5,2,0,7,7,CSO,4,6,0,0,0,4,0,6,0,,,0727734412
1,Makueni,Mukaa,Mukaa,Kilome,Kitaingo/mukaa,Kitaingo Springs of Hope Academy,Private,-1.843771,37.364486,,,,,,3 Acres,Primary,Private,Registered,Mixed,Day&Boarding,Regular,87,184,271,0,,0,0,3,6,0,9,9,CSO,3,8,0,0,0,2,0,3,0,250.34,,0721691484
3,Makueni,Mukaa,Kiimakiu,Kilome,Kitaingo/mukaa,Divine Mercy,Private,0,0,,,,E9L9,,5 Acres,Primary,Private,Registered,Mixed,Day,Regular,22,21,43,0,0,0,0,3,3,0,6,6,QASO,1,4,0,0,0,2,0,2,0,,,0799118278
4,Makueni,Mukaa,Kiimakiu,Kilome,Kiimakiu/Kalanzoni,St. Paul's School,Private,-1.88981,37.195751,,,,,,6.9 Acres,Primary,Private,Not-registered,Mixed,Day,Regular,8,11,19,0,0,0,0,0,2,0,2,2,none,1,2,0,0,0,4,0,4,0,,,0729453511
5,Makueni,Mukaa,Kiimakiu,Kilome,Kalanzoni,Tunawajali Christ Baptist Academy,Private,0,0,,,,,,2.5 Acres,Primary,Private,Not-registered,Mixed,Day,Regular,15,16,31,1,0,0,0,0,5,1,5,6,none,2,6,0,0,0,3,0,3,0,,,0726257003
6,Makueni,Mukaa,Kiimakiu,Kilome,Kalanzoni,Glorious Winners Academy,Private,0,0,,,,,,6.2 Ha,Primary,Private,Registered,Mixed,Day&Boarding,Regular,94,65,159,3,0,0,0,3,6,3,9,12,CSO,5,8,0,0,0,6,0,6,0,331.36,,0768488404
7,Makueni,Mukaa,Kasikeu,Kilome,Kasikeu,Father Adriano Bonifanti Memorial,Private,-2.018067,37.370446,,,18347242,87Y7,,5Ha,Primary,Private,,Mixed,Day&Boarding,Regular,63,68,131,0,0,0,0,6,4,0,10,10,"DQASO, CSO",7,8,0,0,0,3,0,3,0,354.19,,0710807394
